director
Jaume Collet-Serra
Kim Dong-kyu
Lasse HallstrÃ¶m
Shaz Bennett
Samar Shaikh
Archie Hekagery
Sabrina Rochelle Kalangie
Cosima Spender
Liao Shih-han
Arnon Manor
 Timothy Ware-Hill
Gore Verbinski
Al Campbell
 Alice Mathias
MaÃ¯wenn
Richard Weston
Vikramaditya Motwane
Prime Cruz
Robert Rodriguez
Andibachtiar Yusuf
Yandy Laurens
Cathy Garcia-Molina
John Mitchell
 Jeremy Kipp Walker
George Clooney
Liu Kuang-hui
Roger Kumble
Kristian Mercado
Daan Jansen
 Stijn Verlinde
Jay Grace
Paul Dugdale
James Haslam
Muhammad Ali
Thomas Toby Parkinson
John Putch
Sam Macaroni
George C. Wolfe
Yasmin Ahmad
Sudha Kongara
 Vignesh Shivan
 Gautham Vasudev Menon
 Vetri Maaran
Yasmin Ahmad
Yasmin Ahmad
Juan Camilo Pinzon
Lin Oeding
Naya Anindita
Antoinette Jadaone
JP Habac
Alexx Media
Farishad I. Latjuba
Andrucha Waddington
 Pedro Waddington
Picky Talarico
Jun Lana
Brad Peyton
Lee Daniels
Tom Ford
Ellena Wood
 Jesse Vile
Vir Das
Miranda de Pencier
Farhad Safinia
Shaun Paul Piccinino
Eddie Rosas
Frank E. Abney III
James D. Stern
 Fernando Villena
Ryan Murphy
Girish Malik
Deepa Mehta
Lai Chun-yu
Theodore Boborol
Mae Czarina Cruz
Jun Lana
Jun Lana
Sydney Sibilia
Josiah Ng
Kirk Wise
Beth Sleven
 Allan Jacobsen
 Kevin Wotton
Steve Ball
John Hillcoat
Tate Taylor
Jalil Lespert
Su I-Hsuan
 Chuang Shiang-an
 Liu Yi
Clint Butler
Erik Kling
 Kevin Peaty
Detlev Buck
David Fincher
Amanda Raymond
Jason Paul Laxamana
Marc Fouchard
Darragh O'Connell
Roberto Santucci
Dado C. Lumibao
August Jakobsson
Anna Wieczur-Bluszcz
McG
Damien OâConnor
Ron Howard
Jon Favreau
Richard Laxton
Gil Kenan
Phil Burgers
Pierre Morel
Simon Wincer
Ron Howard
Brian Henson
Derick Cabrido
Marla M. Ancheta
Jen McGowan
Bernie Denk
Brian Skiba
Stanley Moore
 Alex Woo
Oliver Bokelberg
Ãngel GÃ³mez HernÃ¡ndez
Ludovico Di Martino
Lee Chung-hyun
Barry Gonzalez
Brian Volk-Weiss
Matthew Michael Carnahan
Cathy Garcia-Molina
Eric Bress
Paul Dugdale
Chris Columbus
V Vignarajan
V Vignarajan
BB Sasore
Greg Rankin
 TJ Sullivan
Ron Howard
Carlos SorÃ­n
Matt Eskandari
Grant Singer
Mohammad Adel
Debbie Allen
Robert Rodriguez
Victor Gatonye
Stephen Chiodo
Will McCormack
 Michael Govier
Monica Floyd
Anurag Kashyap
Siddique
Danish Aslam
Vibhu Virender Puri
Cathy Garcia-Molina
Anurag Kashyap
Rohit Shetty
Ribhu Dasgupta
Mike Rohl
Cathy Garcia-Molina
Shyam Benegal
Takeshi Fukunaga
Leslie Small
Jeff Nichols
Sabaah Folayan
 Damon Davis
Justin G. Dyck
Cody Cameron
 Kris Pearn
Justin G. Dyck
Michael Curtiz
DamiÃ¡n Romay
Avinash Walzade
David E. Talbert
Renata Terra
Edoardo Ponti
Mateo Gil
Cathy Garcia-Molina
Paul Soriano
Ryan Coogler
Anurag Basu
Lucas Santa Ana
Nelson McCormick
Carla Barros
Ulrike Kofler
Steven Bognar
 Julia Reichert
Kunle Afolayan
Weica Wang
Aitor Arregi
 Jon GaraÃ±o
 Jose Mari Goenaga
Kevin Pollak
Otoja Abit
Antoinette Jadaone
Alejandro Hartmann
Maxwell McGuire
Ruel S. Bayani
Martin Wood
Justin G. Dyck
Narendra Nath
Jan-Peter Horns
Tatsushi Omori
Estela Renner
Zeek Earl
 Christopher Caldwell
Michael Kampa
Chanda Bell
Chanda Bell
Jennifer Westcott
Richard Greenberg
Peter Berg
Nicolas Pesce
Oliver Stone
J.A. Bayona
Christopher Cain
Shaun Paul Piccinino
Juliana Vicente
Harald Zwart
Stacia Crawford
Remi Weekes
Tope Oshin
Terrie Samundra
Olivier Marchal
Santiago Alvarado Ilarri
Frasco Mortiz
John Whitesell
Antonio DÃ­az
NimrÃ³d Antal
Bartosz M. Kowalski
James Tovell
MatÃ­as Gueilburt
Natasha Lyonne
Chang Chin-jung
 Chen Rong-hui
Rajkumar Santoshi
Lance Daly
Unjoo Moon
Gil Baroni
Thierry DemaiziÃ¨re
 Alban Teurlai
Glen Keane
Chris Sivertson
Kief Davidson
 Pedro Kos
Jarand Herdal
Dan Villegas
Chris Foggin
Cathy Garcia-Molina
Kim Nguyen
Karen Maine
Tim Neeves
Ben Wheatley
Richard Weston
Don Michael Paul
Maroun Baghdadi
Philippe Aractingi
Amin Dora
Philippe Aractingi
Philippe Aractingi
Maroun Baghdadi
Rana Eid
Daniel Joseph
Randa Chahal Sabbag
Maroun Baghdadi
Philippe Aractingi
Ziad Doueiri
Shady Hanna
Maroun Baghdadi
Josef Fares
Sam Fell
 Chris Butler
Ross Boyask
David 'Tosh' Gitonga
 Michael Jones
Ti West
Manolo Caro
Aaron Sorkin
Levan Gabriadze
Rachel Talalay
Sam Liu
Peter Mimi
Hanung Bramantyo
Lasja Fauzia Susatyo
Pavitra Chalam
 Akshay Shankar
Kevin Ko
 Peter Tsi
Caroline Suh
Carlos PÃ©rez Osorio
Ken Ghosh
Blair Simmons
Indra Kumar
B. Subhash
Harshavardhan Kulkarni
Neeraj Vora
Rajkumar Santoshi
Alex Merkin
Puneet Khanna
Meltem Bozoflu
Radha Blank
Bigflo & Oli
 JÃ©rÃ©mie Levypon
Eduardo Pinto
Steve Brill
Pavel Kostomarov
Mike Elliott
Francis Whately
Jon Izen
Christopher Nolen
Alastair Fothergill
 Jonnie Hughes
 Keith Scholey
Amy Segal
Umut Aral
Umut Kirca
Alex Woo
 Stanley Moore
Kenneth Gyang
Sudhir Mishra
Domenico de Feudis
Burak Aksak
Oz Rodriguez
Salvador Espinosa
Adrian Teh
Brad Silberling
Elsa Flores Almaraz
 Richard J Montoya
Carey McKenzie
Gary Ross
Adam Bolt
Taika Waititi
Lindsey Cordero
 Armando Croda
David LaChapelle
Mostafa Abu Seif
Faris Godus
Rod Lurie
Stacie Passon
Jenny Popplewell
Florian Schott
Tom Whitworth
Joe Mantello
Lee Hirsch
Page Hurwitz
Dallas Jackson
Lee Hirsch
Rajat Kapoor
